02/08/2010,26.27,,,,,,
03/08/2010,26.04,,,,,,
04/08/2010,25.87,,,,,,
05/08/2010,25.8,,,,,,
06/08/2010,25.31,,,,,,
09/08/2010,25.34,,,,,,
10/08/2010,24.735,,,,,,
11/08/2010,23.58,,,,,,
12/08/2010,23.765,,,,,,
13/08/2010,23.705,,,,,,
16/08/2010,24.09,,,,,,
17/08/2010,24.73,,,,,,
18/08/2010,24.21,,,,,,
19/08/2010,23.6,,,,,,
20/08/2010,23.4,,,,,,
23/08/2010,23.635,,,,,,
24/08/2010,23.2,,,,,,
25/08/2010,22.54,,,,,,
26/08/2010,23.02,,,,,,
27/08/2010,22.955,,,,,,
31/08/2010,23.4,,,,,,
01/09/2010,24.565,,,,,,
02/09/2010,24.65,,,,,,
03/09/2010,25.11,,,,,,
06/09/2010,24.925,,,,,,
07/09/2010,24.605,,,,,,
08/09/2010,24.99,,,,,,
09/09/2010,25.37,,,,,,
10/09/2010,25.06,,,,,,
13/09/2010,25.87,,,,,,
14/09/2010,25.72,,,,,,
15/09/2010,25.5,,,,,,
16/09/2010,25.16,,,,,,
17/09/2010,25.155,,,,,,
20/09/2010,25.465,,,,,,
21/09/2010,25.295,,,,,,
22/09/2010,25.6,,,,,,
23/09/2010,25.505,,,,,,
24/09/2010,25.35,,,,,,
27/09/2010,25.31,,,,,,
28/09/2010,25.51,,,,,,
29/09/2010,25.315,,,,,,
30/09/2010,25.255,,,,,,
01/10/2010,25.7,,,,,,
04/10/2010,25.38,,,,,,
05/10/2010,26.415,,,,,,
06/10/2010,27.52,,,,,,
07/10/2010,26.645,,,,,,
08/10/2010,27.26,,,,,,
11/10/2010,27.325,,,,,,
12/10/2010,27.365,,,,,,
13/10/2010,28.84,,,,,,
14/10/2010,28.635,,,,,,
15/10/2010,28.665,,,,,,
18/10/2010,28.465,,,,,,
19/10/2010,27.815,,,,,,
20/10/2010,28.71,,,,,,
21/10/2010,29.435,,,,,,
22/10/2010,29.16,,,,,,
25/10/2010,29.82,,,,,,
26/10/2010,29.3,,,,,,
27/10/2010,28.605,,,,,,
28/10/2010,28.94,,,,,,
29/10/2010,29.08,,,,,,
01/11/2010,28.705,,,,,,
02/11/2010,29.235,,,,,,
03/11/2010,28.905,,,,,,
04/11/2010,29.65,,,,,,
05/11/2010,30.29,,,,,,
08/11/2010,29.555,,,,,,
09/11/2010,29.59,,,,,,
10/11/2010,29.55,,,,,,
11/11/2010,30.55,,,,,,
12/11/2010,30.12,,,,,,
15/11/2010,30.36,,,,,,
16/11/2010,28.865,,,,,,
17/11/2010,28.96,,,,,,
18/11/2010,29.58,,,,,,
19/11/2010,29.39,,,,,,
22/11/2010,28.89,,,,,,
23/11/2010,28.335,,,,,,
24/11/2010,29.08,,,,,,
25/11/2010,29.855,,,,,,
26/11/2010,29.045,,,,,,
29/11/2010,28.21,,,,,,
30/11/2010,28.205,,,,,,
01/12/2010,28.985,,,,,,
02/12/2010,29.995,,,,,,
03/12/2010,30.505,,,,,,
06/12/2010,30.62,,,,,,
07/12/2010,30.62,,,,,,
08/12/2010,29.705,,,,,,
09/12/2010,29.95,,,,,,
10/12/2010,30.275,,,,,,
13/12/2010,30.535,,,,,,
14/12/2010,30.8,,,,,,
15/12/2010,31.095,,,,,,
16/12/2010,31.235,,,,,,
17/12/2010,31.5,,,,,,
20/12/2010,31.415,,,,,,
21/12/2010,32.725,,,,,,
22/12/2010,33.1,,,,,,
23/12/2010,33.23,,,,,,
24/12/2010,33.07,,,,,,
29/12/2010,33.755,,,,,,
30/12/2010,33.86,,,,,,
31/12/2010,33.355,,,,,,
04/01/2011,34.07,,,,,,
05/01/2011,33.485,,,,,,
06/01/2011,33.095,,,,,,
07/01/2011,32.81,,,,,,
10/01/2011,32.265,,,,,,
11/01/2011,32.835,,,,,,
12/01/2011,33.965,,,,,,
13/01/2011,34.1,,,,,,
14/01/2011,33,,,,,,
17/01/2011,32.895,,,,,,
18/01/2011,33.2,,,,,,
19/01/2011,32.19,,,,,,
20/01/2011,30.67,,,,,,
21/01/2011,30.91,,,,,,
24/01/2011,31.26,,,,,,
25/01/2011,30.75,,,,,,
26/01/2011,31.555,,,,,,
27/01/2011,31.43,,,,,,
28/01/2011,30.31,,,,,,
31/01/2011,30.625,,,,,,
01/02/2011,31.67,,,,,,
02/02/2011,32.735,,,,,,
03/02/2011,32.4,,,,,,
04/02/2011,33.35,,,,,,
07/02/2011,34.11,,,,,,
08/02/2011,34.06,,,,,,
09/02/2011,32.975,,,,,,
10/02/2011,33.085,,,,,,
11/02/2011,34.215,,,,,,
14/02/2011,34.37,,,,,,
15/02/2011,33.065,,,,,,
16/02/2011,33.305,,,,,,
17/02/2011,32.955,,,,,,
18/02/2011,32.27,,,,,,
21/02/2011,31.85,,,,,,
22/02/2011,32.08,,,,,,
23/02/2011,31.16,,,,,,
24/02/2011,31.785,,,,,,
25/02/2011,33.07,,,,,,
28/02/2011,33.335,,,,,,
01/03/2011,33.06,,,,,,
02/03/2011,32.68,,,,,,
03/03/2011,33.605,,,,,,
04/03/2011,33.25,,,,,,
07/03/2011,32.86,,,,,,
08/03/2011,32.51,,,,,,
09/03/2011,32.185,,,,,,
10/03/2011,31.12,,,,,,
11/03/2011,31.285,,,,,,
14/03/2011,30.895,,,,,,
15/03/2011,30.315,,,,,,
16/03/2011,29.545,,,,,,
17/03/2011,29.93,,,,,,
18/03/2011,30.37,,,,,,
21/03/2011,30.615,,,,,,
22/03/2011,30.565,,,,,,
23/03/2011,31.17,,,,,,
24/03/2011,31.845,,,,,,
25/03/2011,32.11,,,,,,
28/03/2011,31.84,,,,,,
29/03/2011,32.52,,,,,,
30/03/2011,32.24,,,,,,
31/03/2011,32.07,,,,,,
01/04/2011,32.56,,,,,,
04/04/2011,32.845,,,,,,
05/04/2011,32.73,,,,,,
06/04/2011,32.94,,,,,,
07/04/2011,32.19,,,,,,
08/04/2011,33.44,,,,,,
11/04/2011,33.395,,,,,,
12/04/2011,31.87,,,,,,
13/04/2011,31.465,,,,,,
